Source,Target,Label,Type,Category
User,Super Agent,Query,Flow,Main
Super Agent,Thinking & Planning Agent,Analyze,Flow,Main
Super Agent,Clarification Check,Validate,Decision,Main
Clarification Check,Request Clarification,Vague,Flow,Main
Request Clarification,User,Provide Choices,Flow,Main
Clarification Check,Thinking & Planning Agent,Clear,Flow,Main
Thinking & Planning Agent,Break Down Query,Process,Flow,Main
Break Down Query,Vector Search Tool,Search,Flow,Main
Vector Search Index,Vector Search Tool,Query Index,Data,Main
Vector Search Tool,Single Agent Decision,Route,Decision,Main
Single Agent Decision,Single Genie Agent,Yes - One Agent,Flow,Single Path
Single Genie Agent,Return Single Result,Result,Flow,Single Path
Return Single Result,Super Agent,Answer,Flow,Single Path
Single Agent Decision,Join Decision,No - Multiple Agents,Decision,Multiple Path
Join Decision,SQL Synthesis Agent (Fast),Yes - Table Route,Flow,Table Route
SQL Synthesis Agent (Fast),SQL Execution Agent (Fast),Execute,Flow,Table Route
SQL Execution Agent (Fast),Delta Tables,Query,Data,Table Route
SQL Execution Agent (Fast),Return Fast Result,Result,Flow,Table Route
Return Fast Result,Super Agent,Answer,Flow,Table Route
Join Decision,Parallel Async Calls,Yes - Genie Route,Flow,Genie Route
Parallel Async Calls,Genie Agent A (Slow),Sub-query 1,Flow,Genie Route
Parallel Async Calls,Genie Agent B (Slow),Sub-query 2,Flow,Genie Route
Genie Agent A (Slow),Collect SQL Results,SQL 1,Flow,Genie Route
Genie Agent B (Slow),Collect SQL Results,SQL 2,Flow,Genie Route
Collect SQL Results,SQL Synthesis Agent (Slow),Combine,Flow,Genie Route
SQL Synthesis Agent (Slow),SQL Execution Agent (Slow),Execute,Flow,Genie Route
SQL Execution Agent (Slow),Delta Tables,Query,Data,Genie Route
SQL Execution Agent (Slow),Return Slow Result,Result,Flow,Genie Route
Return Slow Result,Super Agent,Answer,Flow,Genie Route
Join Decision,Multiple Agent Calls,No - Verbal Merge,Flow,Verbal Path
Multiple Agent Calls,Genie Agent A (Verbal),Sub-query 1,Flow,Verbal Path
Multiple Agent Calls,Genie Agent B (Verbal),Sub-query 2,Flow,Verbal Path
Genie Agent A (Verbal),Verbal Merge,Answer 1,Flow,Verbal Path
Genie Agent B (Verbal),Verbal Merge,Answer 2,Flow,Verbal Path
